Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-spectral,ARI-ap_clust
tmm+pca,0.9881074898015734,-0.06444678777277411,0.08356354282723732,0.1524262242702681,0.0
tmm+tsne,0.5527280446763231,0.13574897033462346,0.059752054403233876,0.16588552652986335,0.0
tmm+umap,0.6392956530399087,0.11723396079975126,0.08192692252829782,0.12583882718409203,0.01667234014715248
tmm+diffmap,0.6017293894846374,0.3161074416450022,-0.03049385248601548,-0.03277461086119276,0.018173329392142203
seurat+pca,0.9975785727157828,0.031480437710318,0.07333351321386396,0.31147117475958924,0.08317197578417179
seurat+tsne,0.5655848307961783,0.15412175422015648,0.07767430290401184,0.15441460892316802,0.042685840290752085
seurat+umap,0.5745919739205241,0.09362709017251404,0.038492689465844714,0.07071711492498745,0.020971713778811196
seurat+diffmap,0.8282057418387736,0.08268021965863213,0.051707782847941725,0.07049100314705228,-0.0023596038132003725
log_normalization+pca,0.9989132996330066,0.7725880177507202,0.3303758670199486,0.7687549685548881,0.06718095973922009
log_normalization+tsne,0.5077599469051453,0.38034776476584037,0.27814831079563995,0.040284563265681,0.0
log_normalization+umap,0.5271685395074266,0.0733745361387968,0.11976689904569951,0.12842647535308263,0.0
log_normalization+diffmap,0.9349541143817525,0.024060043972049527,0.06706154634233381,0.5451828177450238,0.5329602577666526
scale+pca,1.0,0.7861360687532171,0.7390376862980673,0.7352939662138578,0.10863270551203595
scale+tsne,0.554071345845243,0.29134856734320513,0.31728405584389374,0.17219848391705356,0.17982491478947468
scale+umap,0.543033633069056,-0.00038230539627843817,0.001610321350793073,0.0006605558149752306,0.0
scale+diffmap,0.8783115193190794,0.0016884475738380448,0.0016884475738380448,0.06577757430214808,0.16126638458142525
