Combination,NDRindex,ARI-hclust,ARI-kmeans,ARI-dbscan,ARI-spectral
seurat + pca,0.9997453650445642,0.4650035502338912,0.4596237644417553,0.0,0.42858380121511613
seurat + tsne,0.6208526511285932,0.19097692065773644,0.4632937956750594,0.05188293609985628,0.3483821000155973
seurat + umap,0.5793372881693817,0.47566084666258984,0.3887040069166895,0.4408581750584892,0.1798593507045624
seurat + diffmap,0.7537511197048751,-0.03525777558823983,-0.036060557879473674,0.0,0.6555549398920558
log_normalization + pca,0.9997370767981838,0.5247779279687655,0.4016939376157386,0.0,0.9348225475443639
log_normalization + tsne,0.6389754236651795,0.26137312188515593,0.24284175875482425,0.057274179785619175,0.4500205257618572
log_normalization + umap,0.5283486941998398,0.27816735564664624,0.18287815603885346,0.5338156594062257,0.294948006715962
log_normalization + diffmap,0.8460115472001126,0.5351913840483771,0.23711558615500553,0.0009056995017902463,0.9171333025636116
scale + pca,0.9891144164135051,0.16707462210551263,0.23017804169958322,0.0,0.912216299893725
scale + tsne,0.6244416124634391,0.2053759375943978,0.2749078402530733,0.04571720188404053,0.11632896651843908
scale + umap,0.5288740467056476,-0.0005221215660561758,0.0006233783468250953,0.0,-0.003274151458892744
scale + diffmap,0.9446999423734932,-0.001231843652181031,-0.000267809204676942,-0.002629881623602113,0.04371770851997286
